root_label,label,metric,system,p_raw,p_holm,median_diff
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",MeanSupportSize,claude_cal_octagon_8,0.0009765625,0.0166015625,-143.16576798644275
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",MeanSupportSize,claude_cal_pentagon_5,0.0009765625,0.0166015625,-142.91719298245613
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",MeanSupportSize,claude_cal_square_4,0.0009765625,0.0166015625,-141.2262522563177
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",MeanSupportSize,claude_checkerboard_potential,0.0009765625,0.0166015625,-138.58297142857143
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",MeanSupportSize,claude_duffing_triple_well,0.0009765625,0.0166015625,-149.15667393410854
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",MeanSupportSize,claude_snic_multi,0.001953125,0.0166015625,-171.26259689922483
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",MeanSupportSize,claude_transition_routes_4,0.0009765625,0.0166015625,-152.27944377267235
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",MeanSupportSize,claude_var_depth_gradient_4,0.001953125,0.0166015625,-140.5762355415352
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",MeanSupportSize,claude_var_diamond_4,0.0009765625,0.0166015625,-155.49977441912927
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",MeanSupportSize,claude_var_l_shape_5,0.0009765625,0.0166015625,-143.6048934108527
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",MeanSupportSize,gated_local_linear,0.0009765625,0.0166015625,-160.42611434108528
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",MeanSupportSize,gated_transfer_linear,0.0009765625,0.0166015625,-157.98389050387595
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",MeanSupportSize,multiwell_strong_transition,0.0009765625,0.0166015625,-149.38783914728683
mlp_sparse_hardinit_basin_partition_control,Sparse MLP,MeanSupportSize,claude_arrested_spiral,0.001953125,0.0166015625,-154.18628875968994
mlp_sparse_hardinit_basin_partition_control,Sparse MLP,MeanSupportSize,claude_cal_asymmetric_3,0.001953125,0.0166015625,-161.99806201550388
