root_label,label,horizon,system,p_raw_t,p_holm_t,p_raw_w,p_holm_w,mean_diff_log10,median_diff_log10,hl_diff_log10,lo_log10,hi_log10,n_seeds
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,500,gated_local_linear,2.5461561904725696e-10,4.328465523803368e-09,0.0009765625,0.0166015625,-2.110317504435673,-2.2268387129506024,-2.097344072468332,-2.29556104014054,-1.838658801512377,10
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,500,gated_transfer_linear,0.0008889066787667897,0.003555626715067159,0.0009765625,0.0166015625,-0.16050810723676553,-0.1397992894664019,-0.1433990216230565,-0.2032891927454359,-0.08719440186632962,10
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,500,multiwell_strong_transition,0.998240206188767,1.0,0.9970703125,0.9970703125,16.902755184284675,25.62277322252364,25.656619949902755,2.19701658086237,27.71298492829404,10
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,1000,claude_arrested_spiral,0.6758065177008279,1.0,0.064453125,0.12890625,1.762640469902482,-1.811869517972717,-1.7864978060372516,-3.0703905470917534,-0.7885006305887885,9
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,1000,claude_cal_asymmetric_3,0.00012821592137334287,0.0006410796068667143,0.001953125,0.0166015625,-1.947409273422338,-1.4845283262206186,-1.678872241748715,-3.2644837905947606,-1.3132610343122237,9
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,1000,claude_cal_hexagon_6,3.8746076595828593e-07,5.424450723416003e-06,0.001953125,0.0166015625,-2.1502216441468303,-2.011351984986218,-2.0068631925530083,-2.257110545062237,-1.871898519692747,9
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,1000,claude_cal_high_cross_3,4.3035962503830515e-06,4.3035962503830513e-05,0.0009765625,0.0166015625,-1.1256068279984675,-1.240230066988516,-1.2293590615166563,-1.4440697664628357,-0.9493025960531719,10
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,1000,claude_cal_octagon_8,3.1331421304203075e-07,4.699713195630462e-06,0.0009765625,0.0166015625,-1.9613593893994856,-1.7878983747720327,-1.7900783983552555,-2.0420668063214187,-1.6615039815976742,10
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,1000,claude_cal_pentagon_5,9.058035570802257e-05,0.000634062489956158,0.0009765625,0.0166015625,-1.2962018547627383,-1.3054203862603904,-1.3447276245809436,-2.056879428868036,-0.6825773785947167,10
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,1000,claude_cal_square_4,3.170818171026642e-06,3.487899988129306e-05,0.0009765625,0.0166015625,-1.3624447587059778,-1.2848661804500199,-1.3937250329074222,-1.7863683016059682,-0.9459854013052906,10
